EntFile_src,EntLine_src,EntName_src,EntKind_src,EntType_src,EntID_src,RefFile,RefLine,RefKind,RefType,EntFile_target,EntLine_target,EntName_target,EntKind_target,EntType_target,EntID_target,Is_Infringed,is37
/home/ks-turtle/Desktop/src/java/security/Timestamp.java,26,java.security.Timestamp,Type,Java Final Class Type Public Member,94457,/home/ks-turtle/Desktop/src/java/security/Timestamp.java,26,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,match,0
/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1464,java.util.concurrent.ThreadPoolExecutor.AbortPolicy,Type,Java Static Class Type Public Member,94686,/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1464,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/util/concurrent/RejectedExecutionHandler.java,17,java.util.concurrent.RejectedExecutionHandler,Type,Java Interface Type Public,94888,no-match,0
/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1441,java.util.concurrent.ThreadPoolExecutor.CallerRunsPolicy,Type,Java Static Class Type Public Member,94691,/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1441,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/util/concurrent/RejectedExecutionHandler.java,17,java.util.concurrent.RejectedExecutionHandler,Type,Java Interface Type Public,94888,no-match,0
/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1505,java.util.concurrent.ThreadPoolExecutor.DiscardOldestPolicy,Type,Java Static Class Type Public Member,94696,/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1505,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/util/concurrent/RejectedExecutionHandler.java,17,java.util.concurrent.RejectedExecutionHandler,Type,Java Interface Type Public,94888,no-match,0
/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1485,java.util.concurrent.ThreadPoolExecutor.DiscardPolicy,Type,Java Static Class Type Public Member,94701,/home/ks-turtle/Desktop/src/java/util/concurrent/ThreadPoolExecutor.java,1485,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/util/concurrent/RejectedExecutionHandler.java,17,java.util.concurrent.RejectedExecutionHandler,Type,Java Interface Type Public,94888,no-match,0
/home/ks-turtle/Desktop/src/javax/imageio/stream/ImageInputStreamImpl.java,30,javax.imageio.stream.ImageInputStreamImpl,Type,Java Abstract Class Type Public Member,94931,/home/ks-turtle/Desktop/src/javax/imageio/stream/ImageInputStreamImpl.java,30,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/imageio/stream/ImageInputStream.java,30,javax.imageio.stream.ImageInputStream,Type,Java Interface Type Public,34848,no-match,0
/home/ks-turtle/Desktop/src/java/security/Identity.java,43,java.security.Identity,Type,Java Abstract Class Type Public Member,95592,/home/ks-turtle/Desktop/src/java/security/Identity.java,43,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/security/Principal.java,20,java.security.Principal,Type,Java Interface Type Public,4175,match,0
/home/ks-turtle/Desktop/src/java/security/Identity.java,43,java.security.Identity,Type,Java Abstract Class Type Public Member,95592,/home/ks-turtle/Desktop/src/java/security/Identity.java,43,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,match,0
/home/ks-turtle/Desktop/src/javax/management/openmbean/ArrayType.java,30,javax.management.openmbean.ArrayType,Type,Java Class Type Public Member,95765,/home/ks-turtle/Desktop/src/javax/management/openmbean/ArrayType.java,32,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/org/omg/CORBA/ServiceInformationHolder.java,28,org.omg.CORBA.ServiceInformationHolder,Type,Java Final Class Type Public Member,96030,/home/ks-turtle/Desktop/src/org/omg/CORBA/ServiceInformationHolder.java,29,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/org/omg/CORBA/portable/Streamable.java,20,org.omg.CORBA.portable.Streamable,Type,Java Interface Type Public,468,no-match,0
/home/ks-turtle/Desktop/src/java/awt/ColorPaintContext.java,18,java.awt.ColorPaintContext,Type,Java Class Type Default Member,96312,/home/ks-turtle/Desktop/src/java/awt/ColorPaintContext.java,18,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/PaintContext.java,28,java.awt.PaintContext,Type,Java Interface Type Public,96311,no-match,0
/home/ks-turtle/Desktop/src/java/security/AllPermission.java,143,java.security.AllPermissionCollection,Type,Java Final Class Type Default Member,96399,/home/ks-turtle/Desktop/src/java/security/AllPermission.java,145,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/java/awt/EventDispatchThread.java,98,java.awt.EventDispatchThread.StopDispatchEvent,Type,Java Class Type Default Member,97034,/home/ks-turtle/Desktop/src/java/awt/EventDispatchThread.java,98,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/ActiveEvent.java,35,java.awt.ActiveEvent,Type,Java Interface Type Public,97102,no-match,0
/home/ks-turtle/Desktop/src/javax/print/attribute/standard/PrinterURI.java,31,javax.print.attribute.standard.PrinterURI,Type,Java Final Class Type Public Member,97154,/home/ks-turtle/Desktop/src/javax/print/attribute/standard/PrinterURI.java,32,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/print/attribute/PrintServiceAttribute.java,22,javax.print.attribute.PrintServiceAttribute,Type,Java Interface Type Public,84316,no-match,0
/home/ks-turtle/Desktop/src/javax/naming/directory/BasicAttributes.java,53,javax.naming.directory.BasicAttributes,Type,Java Class Type Public Member,97261,/home/ks-turtle/Desktop/src/javax/naming/directory/BasicAttributes.java,53,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/naming/directory/Attributes.java,54,javax.naming.directory.Attributes,Type,Java Interface Type Public,22090,no-match,0
/home/ks-turtle/Desktop/src/javax/naming/spi/ContinuationContext.java,22,javax.naming.spi.ContinuationContext,Type,Java Class Type Default Member,98133,/home/ks-turtle/Desktop/src/javax/naming/spi/ContinuationContext.java,22,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/naming/Context.java,269,javax.naming.Context,Type,Java Interface Type Public,13216,no-match,0
/home/ks-turtle/Desktop/src/javax/naming/spi/ContinuationContext.java,22,javax.naming.spi.ContinuationContext,Type,Java Class Type Default Member,98133,/home/ks-turtle/Desktop/src/javax/naming/spi/ContinuationContext.java,22,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/naming/spi/Resolver.java,35,javax.naming.spi.Resolver,Type,Java Interface Type Public,61180,no-match,0
/home/ks-turtle/Desktop/src/java/net/SocketImpl.java,27,java.net.SocketImpl,Type,Java Abstract Class Type Public Member,98678,/home/ks-turtle/Desktop/src/java/net/SocketImpl.java,27,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/net/SocketOptions.java,27,java.net.SocketOptions,Type,Java Interface Type Public,98681,match,0
/home/ks-turtle/Desktop/src/java/net/SocksSocketImpl.java,24,java.net.SocksSocketImpl,Type,Java Class Type Default Member,98679,/home/ks-turtle/Desktop/src/java/net/SocksSocketImpl.java,24,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/net/SocksConsts.java,13,java.net.SocksConsts,Type,Java Interface Type Default,200483,no-match,0
/home/ks-turtle/Desktop/src/javax/management/openmbean/OpenMBeanInfoSupport.java,41,javax.management.openmbean.OpenMBeanInfoSupport,Type,Java Class Type Public Member,98765,/home/ks-turtle/Desktop/src/javax/management/openmbean/OpenMBeanInfoSupport.java,43,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/management/openmbean/OpenMBeanInfo.java,51,javax.management.openmbean.OpenMBeanInfo,Type,Java Interface Type Public,98795,no-match,0
/home/ks-turtle/Desktop/src/javax/management/openmbean/OpenMBeanInfoSupport.java,41,javax.management.openmbean.OpenMBeanInfoSupport,Type,Java Class Type Public Member,98765,/home/ks-turtle/Desktop/src/javax/management/openmbean/OpenMBeanInfoSupport.java,43,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/LayoutFocusTraversalPolicy.java,32,javax.swing.LayoutFocusTraversalPolicy,Type,Java Class Type Public Member,99106,/home/ks-turtle/Desktop/src/javax/swing/LayoutFocusTraversalPolicy.java,33,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/LayoutComparator.java,25,javax.swing.LayoutComparator,Type,Java Final Class Type Default Member,99137,/home/ks-turtle/Desktop/src/javax/swing/LayoutComparator.java,25,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/util/Comparator.java,80,java.util.Comparator,Type,Java Generic Interface Type Public,38816,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/LayoutComparator.java,25,javax.swing.LayoutComparator,Type,Java Final Class Type Default Member,99137,/home/ks-turtle/Desktop/src/javax/swing/LayoutComparator.java,25,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/java/awt/geom/CubicCurve2D.java,26,java.awt.geom.CubicCurve2D,Type,Java Abstract Class Type Public Member,99618,/home/ks-turtle/Desktop/src/java/awt/geom/CubicCurve2D.java,26,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/Shape.java,60,java.awt.Shape,Type,Java Interface Type Public,3223,no-match,0
/home/ks-turtle/Desktop/src/java/awt/geom/CubicCurve2D.java,26,java.awt.geom.CubicCurve2D,Type,Java Abstract Class Type Public Member,99618,/home/ks-turtle/Desktop/src/java/awt/geom/CubicCurve2D.java,26,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/lang/Cloneable.java,36,java.lang.Cloneable,Type,Java Interface Type Public,1426,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,3608,java.awt.Container.AccessibleAWTContainer.AccessibleContainerHandler,Type,Java Class Type Protected Member,99680,/home/ks-turtle/Desktop/src/java/awt/Container.java,3609,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/event/ContainerListener.java,39,java.awt.event.ContainerListener,Type,Java Interface Type Public,8555,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,2195,java.awt.Container.DropTargetEventTargetFilter,Type,Java Static Class Type Default Member,99692,/home/ks-turtle/Desktop/src/java/awt/Container.java,2195,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/Container.java,2176,java.awt.Container.EventTargetFilter,Type,Java Interface Type Default,99698,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,2180,java.awt.Container.MouseEventTargetFilter,Type,Java Static Class Type Default Member,99701,/home/ks-turtle/Desktop/src/java/awt/Container.java,2180,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/Container.java,2176,java.awt.Container.EventTargetFilter,Type,Java Interface Type Default,99698,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,2678,java.awt.Container.WakingRunnable,Type,Java Static Final Class Type Default Member,99706,/home/ks-turtle/Desktop/src/java/awt/Container.java,2678,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/lang/Runnable.java,38,java.lang.Runnable,Type,Java Interface Type Public,97,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,3762,java.awt.LightweightDispatcher,Type,Java Class Type Default Member,100114,/home/ks-turtle/Desktop/src/java/awt/Container.java,3762,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/java/awt/Container.java,3762,java.awt.LightweightDispatcher,Type,Java Class Type Default Member,100114,/home/ks-turtle/Desktop/src/java/awt/Container.java,3762,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/event/AWTEventListener.java,38,java.awt.event.AWTEventListener,Type,Java Interface Type Public,5040,no-match,0
/home/ks-turtle/Desktop/src/java/awt/SequencedEvent.java,28,java.awt.SequencedEvent,Type,Java Class Type Default Member,100195,/home/ks-turtle/Desktop/src/java/awt/SequencedEvent.java,28,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/awt/ActiveEvent.java,35,java.awt.ActiveEvent,Type,Java Interface Type Public,97102,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/TableView.java,24,javax.swing.text.html.TableView,Type,Java Class Type Default Member,101136,/home/ks-turtle/Desktop/src/javax/swing/text/html/TableView.java,24,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/swing/text/ViewFactory.java,19,javax.swing.text.ViewFactory,Type,Java Interface Type Public,11338,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/TableView.java,976,javax.swing.text.html.TableView.ColumnIterator,Type,Java Class Type Default Member,101156,/home/ks-turtle/Desktop/src/javax/swing/text/html/TableView.java,976,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/swing/text/html/CSS.java,3105,javax.swing.text.html.CSS.LayoutIterator,Type,Java Interface Type Default,101608,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/html/TableView.java,1116,javax.swing.text.html.TableView.RowIterator,Type,Java Class Type Default Member,101202,/home/ks-turtle/Desktop/src/javax/swing/text/html/TableView.java,1116,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/swing/text/html/CSS.java,3105,javax.swing.text.html.CSS.LayoutIterator,Type,Java Interface Type Default,101608,no-match,0
/home/ks-turtle/Desktop/src/javax/management/NotificationFilterSupport.java,43,javax.management.NotificationFilterSupport,Type,Java Class Type Public Member,101990,/home/ks-turtle/Desktop/src/javax/management/NotificationFilterSupport.java,43,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/management/NotificationFilter.java,17,javax.management.NotificationFilter,Type,Java Interface Type Public,106018,no-match,0
/home/ks-turtle/Desktop/src/javax/management/NotificationFilterSupport.java,43,javax.management.NotificationFilterSupport,Type,Java Class Type Public Member,101990,/home/ks-turtle/Desktop/src/javax/management/NotificationFilterSupport.java,43,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/java/net/SocketPermission.java,121,java.net.SocketPermission,Type,Java Final Class Type Public Member,102512,/home/ks-turtle/Desktop/src/java/net/SocketPermission.java,122,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,match,0
/home/ks-turtle/Desktop/src/javax/swing/text/TabStop.java,28,javax.swing.text.TabStop,Type,Java Class Type Public Member,103449,/home/ks-turtle/Desktop/src/javax/swing/text/TabStop.java,28,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/GapContent.java,44,javax.swing.text.GapContent,Type,Java Class Type Public Member,104559,/home/ks-turtle/Desktop/src/javax/swing/text/GapContent.java,44,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/javax/swing/text/AbstractDocument.java,1591,javax.swing.text.AbstractDocument.Content,Type,Java Interface Type Public,104787,no-match,0
/home/ks-turtle/Desktop/src/javax/swing/text/GapContent.java,44,javax.swing.text.GapContent,Type,Java Class Type Public Member,104559,/home/ks-turtle/Desktop/src/javax/swing/text/GapContent.java,44,Couple,Java Implement Couple,/home/ks-turtle/Desktop/src/java/io/Serializable.java,135,java.io.Serializable,Type,Java Interface Type Public,87,no-match,0
